
Call:
model.avg(object = get.models(freqfitsPOI_1, subset = TRUE))

Component model call: 
glm(formula = LossesIndicator ~ <4096 unique rhs>, family = 
     poisson(link = "log"), data = crs$training, offset = log(Exposure))

Component models: 
                           df   logLik    AICc  delta weight
5/7/11/12                  26 -1161.23 2375.33 423.62   0.00
5/7/8/12                   26 -1161.29 2375.46 423.74   0.00
4                           5 -1182.92 2375.88 424.16   0.00
5/7/8/11/12                27 -1160.66 2376.25 424.54   0.00
5/7                        24 -1163.92 2376.60 424.88   0.00
5/7/10/12                  28 -1159.85 2376.72 425.00   0.00
5/7/11                     25 -1163.07 2376.94 425.22   0.00
5/7/10/11/12               29 -1158.95 2376.99 425.28   0.00
4/11                        6 -1182.53 2377.10 425.39   0.00
5/7/8/10/12                29 -1159.18 2377.45 425.74   0.00
4/8                         6 -1182.74 2377.53 425.82   0.00
5/7/8/10/11/12             30 -1158.44 2378.05 426.33   0.00
5/7/8                      25 -1163.79 2378.38 426.67   0.00
4/8/11                      7 -1182.37 2378.82 427.10   0.00
5/7/8/11                   26 -1162.98 2378.83 427.11   0.00
5/7/10                     27 -1162.04 2379.03 427.32   0.00
5/7/10/11                  28 -1161.07 2379.15 427.43   0.00
4/10                        8 -1181.72 2379.52 427.81   0.00
4/10/11                     9 -1180.89 2379.90 428.18   0.00
4/8/10                      9 -1181.38 2380.88 429.16   0.00
5/7/8/10                   28 -1161.95 2380.92 429.20   0.00
5/7/8/10/11                29 -1161.02 2381.12 429.40   0.00
4/8/10/11                  10 -1180.58 2381.30 429.59   0.00
5/12                       24 -1166.43 2381.61 429.89   0.00
5/8/12                     25 -1165.88 2382.56 430.84   0.00
5/11/12                    25 -1165.89 2382.59 430.88   0.00
5                          23 -1168.14 2382.97 431.25   0.00
5/8/11/12                  26 -1165.43 2383.74 432.02   0.00
5/11                       24 -1167.50 2383.76 432.04   0.00
5/8                        24 -1168.04 2384.84 433.12   0.00
5/10/12                    27 -1165.02 2384.99 433.27   0.00
5/8/11                     25 -1167.43 2385.68 433.96   0.00
5/10/11/12                 28 -1164.39 2385.80 434.09   0.00
5/8/10/12                  28 -1164.42 2385.86 434.14   0.00
5/10                       26 -1166.83 2386.54 434.83   0.00
5/8/10/11/12               29 -1163.90 2386.89 435.17   0.00
5/10/11                    27 -1166.09 2387.13 435.41   0.00
2/7/9/10/11/12             17 -1176.41 2387.20 435.48   0.00
2/7/9/10/12                16 -1177.49 2387.32 435.60   0.00
5/8/10                     27 -1166.73 2388.40 436.68   0.00
2/7/8/9/10/11/12           18 -1176.08 2388.58 436.86   0.00
2/7/8/9/10/12              17 -1177.26 2388.89 437.17   0.00
5/8/10/11                  28 -1166.02 2389.05 437.33   0.00
2/7/9/10                   15 -1179.55 2389.40 437.69   0.00
2/7/9/10/11                16 -1178.71 2389.76 438.04   0.00
2/9/10/11/12               16 -1178.98 2390.30 438.58   0.00
2/8/9/10/11/12             17 -1178.51 2391.40 439.68   0.00
2/7/8/9/10                 16 -1179.55 2391.43 439.72   0.00
2/9/10/12                  15 -1180.67 2391.63 439.92   0.00
2/7/8/9/10/11              17 -1178.70 2391.78 440.06   0.00
2/9/10/11                  15 -1181.23 2392.76 441.05   0.00
2/8/9/10/12                16 -1180.29 2392.92 441.20   0.00
2/9/10                     14 -1182.60 2393.47 441.75   0.00
2/8/9/10/11                16 -1181.18 2394.70 442.98   0.00
2/8/9/10                   15 -1182.56 2395.42 443.70   0.00
2/7/9/11/12                14 -1184.65 2397.57 445.85   0.00
2/7/9/12                   13 -1185.79 2397.81 446.10   0.00
2/7/8/9/11/12              15 -1184.00 2398.30 446.58   0.00
2/9/11/12                  13 -1186.19 2398.60 446.88   0.00
2/7/8/9/12                 14 -1185.27 2398.80 447.08   0.00
2/8/9/11/12                14 -1185.41 2399.09 447.37   0.00
2/7/9                      12 -1187.70 2399.60 447.88   0.00
2/9/12                     12 -1187.81 2399.82 448.10   0.00
2/7/9/11                   13 -1186.86 2399.94 448.22   0.00
2/8/9/12                   13 -1187.15 2400.52 448.80   0.00
2/9/11                     12 -1188.39 2400.98 449.26   0.00
2/7/8/9                    13 -1187.59 2401.40 449.69   0.00
2/9                        11 -1189.65 2401.47 449.75   0.00
2/7/8/9/11                 14 -1186.73 2401.71 449.99   0.00
2/8/9/11                   13 -1188.20 2402.63 450.91   0.00
2/8/9                      12 -1189.46 2403.12 451.40   0.00
7/9/10/11/12               13 -1193.29 2412.80 461.09   0.00
7/8/9/10/11/12             14 -1193.09 2414.44 462.72   0.00
7/9/10/12                  12 -1195.22 2414.63 462.92   0.00
7/9/11/12                  10 -1197.91 2415.95 464.24   0.00
7/8/9/10/12                13 -1195.14 2416.50 464.78   0.00
7/8/9/11/12                11 -1197.32 2416.79 465.08   0.00
7/9/12                      9 -1199.48 2417.06 465.35   0.00
7/8/9/12                   10 -1199.09 2418.32 466.61   0.00
9/11/12                     9 -1201.87 2421.85 470.13   0.00
9/10/11/12                 12 -1198.85 2421.90 470.18   0.00
8/9/11/12                  10 -1201.09 2422.31 470.59   0.00
8/9/10/11/12               13 -1198.42 2423.07 471.36   0.00
7/9/10/11                  12 -1199.65 2423.49 471.77   0.00
7/9/10                     11 -1201.00 2424.16 472.45   0.00
9/12                        8 -1204.46 2425.01 473.30   0.00
7/9/11                      9 -1203.47 2425.05 473.34   0.00
7/9                         8 -1204.53 2425.15 473.44   0.00
7/8/9/10/11                13 -1199.55 2425.33 473.61   0.00
7/8/9/10                   12 -1200.86 2425.92 474.21   0.00
8/9/12                      9 -1203.91 2425.93 474.21   0.00
9/10/12                    11 -1201.95 2426.06 474.34   0.00
7/8/9/11                   10 -1203.47 2427.07 475.35   0.00
7/8/9                       9 -1204.53 2427.18 475.46   0.00
8/9/10/12                  12 -1201.67 2427.53 475.82   0.00
9/11                        8 -1207.59 2431.27 479.55   0.00
9/10/11                    11 -1205.10 2432.35 480.64   0.00
9                           7 -1209.49 2433.05 481.33   0.00
8/9/11                      9 -1207.55 2433.21 481.50   0.00
8/9/10/11                  12 -1205.09 2434.37 482.66   0.00
9/10                       10 -1207.37 2434.89 483.17   0.00
8/9                         8 -1209.47 2435.03 483.31   0.00
8/9/10                     11 -1207.37 2436.90 485.18   0.00
2/7/10/12                  10 -1216.87 2453.88 502.16   0.00
2/7/8/10/12                11 -1216.49 2455.14 503.42   0.00
2/7/10/11/12               11 -1216.80 2455.75 504.04   0.00
2/7/8/10/11/12             12 -1216.44 2457.07 505.35   0.00
2/10/12                     9 -1221.42 2460.94 509.23   0.00
2/7/10                      9 -1221.42 2460.95 509.23   0.00
2/8/10/12                  10 -1220.80 2461.73 510.02   0.00
2/7/10/11                  10 -1221.11 2462.35 510.63   0.00
2/10/11/12                 10 -1221.40 2462.94 511.23   0.00
2/7/8/10                   10 -1221.42 2462.97 511.26   0.00
2/8/10/11/12               11 -1220.79 2463.75 512.03   0.00
2/7/8/10/11                11 -1221.10 2464.37 512.66   0.00
2/10                        8 -1225.55 2467.18 515.47   0.00
2/10/11                     9 -1225.37 2468.86 517.14   0.00
2/8/10                      9 -1225.52 2469.15 517.43   0.00
2/8/10/11                  10 -1225.34 2470.82 519.10   0.00
7/10/12                     6 -1232.31 2476.66 524.95   0.00
7/8/10/12                   7 -1232.08 2478.23 526.51   0.00
7/10/11/12                  7 -1232.30 2478.67 526.96   0.00
7/8/10/11/12                8 -1232.08 2480.24 528.53   0.00
2/7/12                      7 -1233.17 2480.40 528.69   0.00
2/7/8/12                    8 -1232.21 2480.51 528.79   0.00
2/7/11/12                   8 -1232.85 2481.80 530.08   0.00
2/7/8/11/12                 9 -1231.99 2482.08 530.37   0.00
2/8/12                      7 -1234.07 2482.21 530.50   0.00
2/12                        6 -1235.22 2482.48 530.77   0.00
2/8/11/12                   8 -1233.97 2484.03 532.32   0.00
2/11/12                     7 -1235.07 2484.20 532.49   0.00
2/7                         6 -1238.31 2488.68 536.96   0.00
2/7/11                      7 -1237.44 2488.96 537.24   0.00
7/10                        5 -1240.00 2490.04 538.33   0.00
2                           5 -1240.01 2490.07 538.35   0.00
2/7/8                       7 -1238.19 2490.45 538.73   0.00
2/7/8/11                    8 -1237.33 2490.76 539.04   0.00
10/12                       5 -1240.39 2490.82 539.11   0.00
2/11                        6 -1239.43 2490.90 539.19   0.00
2/8                         6 -1239.80 2491.64 539.93   0.00
7/8/10                      6 -1239.82 2491.70 539.98   0.00
7/10/11                     6 -1239.87 2491.80 540.08   0.00
8/10/12                     6 -1239.92 2491.89 540.18   0.00
2/8/11                      7 -1239.21 2492.48 540.77   0.00
10/11/12                    6 -1240.36 2492.77 541.06   0.00
7/8/10/11                   7 -1239.69 2493.44 541.72   0.00
8/10/11/12                  7 -1239.87 2493.81 542.10   0.00
7/8/12                      4 -1247.30 2502.62 550.90   0.00
7/12                        3 -1248.42 2502.86 551.14   0.00
7/11/12                     4 -1247.78 2503.58 551.87   0.00
7/8/11/12                   5 -1246.84 2503.72 552.01   0.00
10                          4 -1247.90 2503.83 552.11   0.00
8/10                        5 -1247.87 2505.78 554.07   0.00
10/11                       5 -1247.88 2505.79 554.07   0.00
8/12                        3 -1250.20 2506.42 554.71   0.00
12                          2 -1251.52 2507.06 555.34   0.00
8/10/11                     6 -1247.85 2507.75 556.03   0.00
8/11/12                     4 -1250.07 2508.17 556.45   0.00
11/12                       3 -1251.30 2508.61 556.89   0.00
7/11                        3 -1255.07 2516.16 564.45   0.00
7                           2 -1256.57 2517.15 565.44   0.00
7/8/11                      4 -1255.05 2518.12 566.41   0.00
7/8                         3 -1256.52 2519.05 567.34   0.00
(Null)                      1 -1259.47 2520.94 569.23   0.00
11                          2 -1258.64 2521.30 569.58   0.00
8                           2 -1259.35 2522.70 570.98   0.00
8/11                        3 -1258.54 2523.10 571.38   0.00

Term codes: 
     BusinessLineLevel1              CapturedBy                    Desk 
                      1                       2                       3 
EventTypeCategoryLevel1              Instrument                  Reason 
                      4                       5                       6 
              TradedDay              TradedTime                TraderId 
                      7                       8                       9 
            TradeStatus              UpdatedDay             UpdatedTime 
                     10                      11                      12 

Model-averaged coefficients:  
(full average) 
                                                          Estimate   Std. Error
(Intercept)                                             -8.8787031    0.6796955
BusinessLineLevel1BL1                                    2.1990778    0.7561376
BusinessLineLevel1BL3                                   -0.9757639    0.6262275
BusinessLineLevel1BL4                                   -2.6859817    0.5441946
BusinessLineLevel1BL5                                   -1.8351287    0.4922025
BusinessLineLevel1BL6                                    0.6907694    1.0892788
BusinessLineLevel1BL7                                  -13.8690897 1822.4256962
BusinessLineLevel1BL9                                   21.9293672  819.1412328
DeskAfrica                                               2.6638254    0.6141599
DeskBonds/Repos                                          2.8614565    0.4150348
DeskCommodities                                          0.8374079    0.5773402
DeskDerivatives                                          0.0938421    0.5196582
DeskEquity                                               1.1580070    0.3888296
DeskManagement/Other                                   -16.8321767  819.1402878
DeskMM                                                   1.7677941    0.5264042
DeskPrime Services                                       0.5859774    1.1461265
DeskSND                                                  1.5540972    0.6846709
EventTypeCategoryLevel1EL1                               4.6608888    0.6823239
EventTypeCategoryLevel1EL4                               1.0244537    0.5257579
EventTypeCategoryLevel1EL6                               7.0542841    0.8402098
EventTypeCategoryLevel1EL8                              -3.5582594    1.0856581
InstrumentBill                                           0.8785449    0.7839937
InstrumentBond                                          -0.1840620    0.4170528
InstrumentBuySellback                                    0.7166388    0.7198198
InstrumentCall Deposit                                  -1.1806710    0.4266362
InstrumentCombination                                    0.5286339    1.1450102
InstrumentCreditDefaultSwap                             -1.7802894    0.6706260
InstrumentCurr                                          -1.0499370    0.5007145
InstrumentCurrSwap                                      -1.0070097    0.5044565
InstrumentDeposit                                        0.4556083    0.3618001
InstrumentEquityIndex                                  -15.7467581 1419.1243216
InstrumentETF                                            3.0651188    1.3054201
InstrumentFRA                                          -15.0414617  986.3234467
InstrumentFRN                                            0.5851823    0.5599759
InstrumentFuture/Forward                                -0.4884910    0.3770461
InstrumentIndexLinkedBond                               -1.7752927    0.6472282
InstrumentIndexLinkedSwap                               -0.4842555    0.3842343
InstrumentOption                                         0.1256043    0.5923983
InstrumentOther                                         -0.3369413    0.2765225
InstrumentRepo/Reverse                                  -2.0009504    0.5938833
InstrumentSecurityLoan                                  -1.2864516    0.3461556
InstrumentStock                                         -0.5806859    2.1984298
InstrumentTotalReturnSwap                               -0.8033741    0.3697911
ReasonAcquirer                                           2.0248298    1.3039062
ReasonBrokerage Related                                  1.2819414    1.0694934
ReasonCalendar Related                                   1.8963670    0.4258797
ReasonCapture Errors - Direction / Amount / Rate / CP    0.9860837    0.4105764
ReasonClient Request to Amend Economics of Deal         -0.0225502    1.0093297
ReasonCommodities Early Delivery                         1.3216858    0.8845219
ReasonCorrected NDEUSSA Reset Level                     -3.8940181    0.8831458
ReasonCPI Fixings                                       -4.5372221    0.8630591
ReasonEarly Termination / Delivery / Close out          -3.4642627    0.7262186
ReasonFees/Commissions Related                          -0.6434868    0.9213938
ReasonOperations request to change Economics of Trade   -1.2727438    0.9685105
ReasonPayments Related                                   0.3097870    0.6576338
ReasonPortfolio Move / Restructure                      -3.4379978    2.2001669
ReasonSales Credits                                      2.9051211    1.1945822
ReasonSystem Update Call Accounts                       -5.5650068    0.9028657
ReasonTrade Restructure                                -13.7306356  801.1635356
ReasonTri-Optima                                        -1.8103809    1.3222422
ReasonValuation Group Request                            1.4109237    0.6042975
TraderIdAMBA                                             0.1469376    0.6180489
TraderIdANALYST                                          0.1031346    0.2816760
TraderIdASSOCIATE                                       -0.4694817    0.3620466
TraderIdATS                                              3.6517019    0.6517425
TraderIdMNGDIRECTOR                                      0.2258536    0.3313708
TraderIdVICE PRINCIPAL                                   0.1845696    0.3744434
TradeStatusBO-BO Confirmed                              -0.4502038    0.2933359
TradeStatusTerminated                                    2.0501475    1.2927044
TradeStatusTerminated/Void                             -11.3989715 3991.3792400
UpdatedTime                                              0.4141693    0.6317367
CapturedByMIDOFFICE                                      0.3000223    0.3902080
CapturedByPROD ACCOUNTANT                               -0.1468411    0.3949380
CapturedByPROD CONTROLLER                               -0.3944590    0.4673887
CapturedByUNAUTHORISED                                  -0.0858343    0.3776174
TradedTime                                               0.2847775    0.5839947
UpdatedDay                                              -0.0027196    0.0068597
TradedDay                                               -0.0002386    0.0039133
                                                       Adjusted SE z value
(Intercept)                                              0.6801422  13.054
